pass,source,nid,item_id,topic,brief,result,time,miss_cause,note
s24,uworld,1482289549128,q_3c3d26c6702192fc9f1b,Meckel diverticulum: confirm with pertechnetate scan,occult-gi-bleed,incorrect,2:23,misread,Read dark red stool as an upper GI bleed (reported by user).
s24,uworld,,,Ewing sarcoma of the pelvis,bone-tumors,correct,7:18,,
s25,uworld,1484623905318,q_2b330684b8e7973e9ec3,Metaphyseal corner fracture: child abuse,bs-nat-fracture,incorrect,1:00,unknown,
s25,uworld,1482886567135,q_04cc8dab969e5a41b2f9,Hirschsprung: neural crest migration,neonatal-bowel,correct,0:25,,
s25,uworld,1520972891460,,Choanal atresia: pass a catheter,newborn-cyanosis,correct,,,
s25,uworld,1471990360540,q_7a1f8be2497e648cc861,Trisomy 18: VSD,aneuploidy,incorrect,0:44,unknown,
s25,uworld,1503088048862,q_9381374131198f28cef9,Scarlet fever,bs-exanthems,correct,0:29,,
s25,uworld,1480564165697,q_915d9f492460dff0d5ba,ALL: platelet production,bs-leukemia,incorrect,0:09,unknown,Answered in 9 seconds.
s25,uworld,1476498925942,q_0a92cb08900a4b1a0575,Lesch-Nyhan syndrome,cerebral-palsy,correct,0:17,,
s25,uworld,1475363809585,q_50de712bf9c94117a811,Minimal change disease: cytokine injury,nephrotic-child,incorrect,1:19,unknown,
s26,uworld,1482959868268,q_44131b0bc9eaa69fa316,NEC: pneumatosis and portal venous gas,neonatal-bowel,correct,0:55,,
s26,uworld,1482976984253,q_8f4f13f378a0151b32dd,Biliary atresia lab pattern,neonatal-jaundice,correct,0:31,,
s26,uworld,1482959873096,q_d6ae55f4494c28124dcd,Malrotation with volvulus,neonatal-bowel,correct,0:23,,
s26,uworld,1476583171440,q_cb09b11e0b8c49b3cdb3,Isotretinoin intracranial hypertension,peds-headache-imaging,correct,0:25,,
s26,uworld,1484188767774,q_3e0b293d06e01d4e5346,Tuberous sclerosis,tumor-syndromes,correct,0:31,,
s26,uworld,1487727609159,q_1ced7b06da1fa26a2048,CVID: IVIG,ig-panel,correct,0:50,,
s26,uworld,1510103409414,q_7e003dd30ec6fb88545b,Nontyphoidal Salmonella source,bs-foodborne,correct,0:21,,
s28,nbme,,,Cyclic neutropenia,cgd,incorrect,1:15,unknown,Coverage id peds-cms-fdc19e.
s28,nbme,,,Rocky Mountain spotted fever,rmsf,incorrect,0:54,unknown,Coverage id peds-cms-aa91d7.
s31,nbme,,q_bd617d53d7c3c8f78cff,Cyclic neutropenia,cgd,incorrect,1:15,unknown,Coverage id peds-cms-fdc19e. Repeat of the s28 item.
s31,nbme,,q_f301e03be41b7aa167b0,Rocky Mountain spotted fever,rmsf,incorrect,0:54,unknown,Coverage id peds-cms-aa91d7. Repeat of the s28 item.
s31,nbme,,q_907cd6543effc4c0dec6,Global developmental delay at 4 years,growth,incorrect,0:32,unknown,Coverage id peds-cms-56f5bb.
s31,nbme,,q_1dafa1911a5a64278be2,Tetralogy of Fallot,cyanotic-chd,incorrect,2:39,unknown,Coverage id peds-cms-bd082e.
s31,nbme,,q_68047f53bb547e1428b5,G6PD deficiency in a jaundiced newborn,neonatal-jaundice,incorrect,0:20,unknown,Coverage id peds-cms-e43eb8.
s31,nbme,,q_a5490882ad76890a739b,Pseudomonas osteomyelitis after a foot puncture,bs-puncture-osteomyelitis,incorrect,0:49,unknown,Coverage id peds-cms-f52102.
s31,nbme,,q_f04e1e07cd1dacf1c640,Neonatal HSV encephalitis,bs-torch,incorrect,1:13,unknown,Coverage id peds-cms-03615c.
s31,nbme,,q_aeb588e544ebeb4b9c39,Poststreptococcal GN: order C3,bs-nephritic,incorrect,2:01,unknown,Coverage id peds-cms-cb45d9.
s31,nbme,,q_5c5ebd26ef5fe11337d5,Heart failure after untreated Kawasaki disease,kawasaki,incorrect,4:06,unknown,Coverage id peds-cms-42aa4f.
s31,nbme,,q_5b60f193e9f29040ad78,Influenza myositis,bs-acute-myositis,incorrect,0:45,unknown,Coverage id peds-cms-80d5b8.
s31,nbme,,q_02665e6eb263aaa1aecd,Prepubertal candidal vulvovaginitis,diaper-dermatitis,incorrect,1:24,unknown,Coverage id peds-cms-dd1427.
s31,nbme,,q_791ab466c5d3371ac2d4,NF1: optic glioma risk,tumor-syndromes,incorrect,0:48,unknown,Coverage id peds-cms-d74882.
s31,nbme,,q_5816cb03e02b1ea37486,Angelman syndrome: genetic defect,bs-imprinting,correct,1:19,,Coverage id peds-cms-123615.
s31,nbme,,q_6f1f0484f7cc597f3a69,Perinatal HIV with high immunoglobulins,ig-panel,incorrect,1:24,unknown,Coverage id peds-cms-ae7cd7.
s31,nbme,,q_7e472e5bd7e09a357f4d,Congenital hypothyroidism: thyroid function tests,bs-umbilical,incorrect,1:07,unknown,Coverage id peds-cms-060d9c.
s31,nbme,,q_bfc2adf60a295d1a841a,Neonatal gonococcal conjunctivitis,redeye,incorrect,0:37,unknown,Coverage id peds-cms-2944bc.
s31,nbme,,q_44a4c5430977368dd3fc,Vitamin K deficiency bleeding: add FFP,bs-fat-soluble-vitamins,correct,0:31,,Coverage id peds-cms-dd721b.
s31,nbme,,q_ee07b7cec8875310382c,Erythema toxicum: reassurance,neonatal-rash,correct,0:49,,Coverage id peds-cms-6facf4.
s31,nbme,,q_77d42ebe5ed7ab37a6ff,Adolescent BP: confirm by auscultation,bs-adolescent-bp,incorrect,0:54,unknown,Coverage id peds-cms-9a2ab1.
s31,nbme,,q_d5a219c1127f50cba341,ALL labelled systemic JIA: bone marrow,bs-leukemia,correct,1:34,,Coverage id peds-cms-dbb94d.
s31,nbme,,q_bbe63e88a23044cd7f3a,Infected thyroglossal duct cyst,lymphadenitis,correct,1:12,,Coverage id peds-cms-9b4c4f.
s31,nbme,,q_d9b8dd343b4ca836c41d,Beckwith-Wiedemann: hepatoblastoma,bs-abdominal-mass,incorrect,0:44,unknown,Coverage id peds-cms-f627e3.
s31,nbme,,q_163add7fdad553c2a5e2,Acute rheumatic fever,arf,incorrect,2:56,unknown,Coverage id peds-cms-e6a460.
s31,nbme,,q_dbcda06c6427d41d6c22,Primary syphilis: organism class,bs-genital-ulcer,incorrect,0:52,unknown,Coverage id peds-cms-42419d.
