id,title,section,kind,shelf,items,types
pmr,Polymyalgia Rheumatica,msk,topic,fm,7,dx:6 next:1
biceps,Biceps Tendinitis,msk,topic,fm,6,next:3 dx:3
cts,Carpal Tunnel Syndrome,msk,topic,fm,5,dx:4 next:1
dequervain,De Quervain Tendinopathy,msk,topic,fm,6,dx:5 next:1
meralgia,Meralgia Paresthetica,msk,topic,fm,6,dx:5 test:1
scaphoid,Scaphoid Fracture,msk,topic,fm,6,next:2 mech:2 test:1 dx:1
backpain,Low Back Pain: Red Flags,msk,topic,fm,6,dx:5 test:1
hippos,Hip Positioning: Fracture vs. Dislocation,msk,topic,fm,6,dx:4 next:1 mech:1
gtps,Pain Around the Hip and Thigh,msk,topic,fm,10,dx:9 next:1
inflam-back,Inflammatory Back Pain &amp; Spondyloarthritis,msk,topic,fm,9,dx:8 test:1
oa-pharm,Osteoarthritis Pharmacotherapy,msk,topic,fm,6,next:5 dx:1
septic-bursitis,Septic Bursitis,msk,topic,fm,6,next:3 dx:3
septic-hip,Septic Arthritis of the Hip,msk,topic,fm peds,9,dx:4 next:3 mech:2
synovitis,Transient Synovitis Mirror twin,msk,topic,fm peds,9,dx:4 next:2 test:2 avoid:1
limp,The Limping Child — Master Table,msk,topic,fm peds,8,dx:8
sjia,Juvenile Idiopathic Arthritis,msk,topic,fm peds,13,dx:7 next:4 screen:1 test:1
nursemaid,Nursemaid's Elbow,msk,topic,fm peds,6,dx:4 next:2
scfe,Slipped Capital Femoral Epiphysis,msk,topic,fm peds,9,dx:5 next:2 screen:1 mech:1
myositis-ossificans,The Post-Traumatic Limb Mass,msk,topic,fm peds,10,next:6 dx:2 mech:1 avoid:1
growing-pains,Benign Limb Pain in a Child,msk,topic,fm peds,10,next:7 dx:1 mech:1 avoid:1
bone-tumors,"Bone Tumors: Location, Film, Course",msk,topic,peds,15,dx:9 claim:2 mech:2 next:2
scheuermann,Scheuermann Kyphosis,msk,topic,fm peds,6,dx:2 next:2 test:1 mech:1
bs-septic-adult,The Acute Hot Joint (adult),msk,bs,fm,8,dx:5 next:2 avoid:1
bs-lbp-acute,Acute Low Back Pain with No Red Flags,msk,bs,fm,9,next:7 dx:2
bs-synovitis-mgmt,Transient Synovitis: Management,msk,bs,fm peds,8,dx:5 next:3
bs-torticollis,Congenital Muscular Torticollis and Plagiocephaly,msk,bs,peds,10,dx:8 screen:1 next:1
bs-brachial-plexus,Brachial Plexus Injury at Birth,msk,bs,peds,6,dx:3 next:2 claim:1
shoulder-rom,Shoulder Pain: the Range-of-Motion Rule,msk,topic,fm,0,
growth,Growth &amp; Developmental Milestones,peds,topic,fm peds,9,dx:6 next:2 mech:1
neonatal-maternal-labs,Maternal Carryover in Newborn Labs,peds,topic,fm peds,10,next:5 dx:2 mech:1 avoid:1 test:1
newborn-hormone,Maternal Hormone Effects in the Newborn,peds,topic,fm peds,10,next:5 dx:3 mech:1 avoid:1
aneuploidy,Aneuploidy: Reading the Newborn,peds,topic,peds,16,dx:11 mech:2 test:2 next:1
malform-syndromes,Multiple Anomalies in a Newborn,peds,topic,peds,9,dx:5 next:2 test:1 mech:1
bs-learning,Specific Learning Disorder,peds,bs,peds,9,dx:8 next:1
bs-nat-fracture,Suspected Child Abuse: Fractures and the Next Step,peds,bs,fm peds,7,dx:3 next:2 mech:1 avoid:1
bs-shock,Shock in Children,peds,bs,peds,9,next:6 dx:3
bs-infant-feeding,Infant Feeding at Six Months,peds,bs,fm peds,9,next:7 screen:1 avoid:1
bs-tanner,Sexual Maturity Rating,peds,bs,fm peds,9,next:5 stage:4
bs-ftt,Faltering Weight,peds,bs,fm peds,9,next:5 dx:4
bs-preterm-followup,Prematurity Follow-Up and Corrected Age,peds,bs,fm peds,16,next:6 dx:4 mech:3 screen:2 test:1
aq-infant-hypotonia,Hypotonia in an Infant,peds,aq,peds,16,test:5 dx:5 avoid:2 next:2 screen:2
chf,Heart Failure: Reducing Hospitalization,cv,topic,fm,6,next:6
ascvd,Statins &amp; the 10-Year ASCVD Risk Assessment,cv,topic,fm,6,next:6
angina,Anginal Equivalents &amp; Stress Test Selection,cv,topic,fm,6,test:3 dx:2 stage:1
ie-ppx,Infective Endocarditis Prophylaxis,cv,topic,fm,6,next:4 screen:2
secondary-htn,Secondary Hypertension,cv,topic,fm,10,dx:6 test:1 next:1 avoid:1 mech:1
dvt,DVT &amp; Pulmonary Embolism,cv,topic,fm,6,test:3 dx:2 next:1
ped-murmur,Innocent vs Pathologic Murmurs,cv,topic,fm peds,17,dx:10 next:4 mech:3
cyanotic-chd,Cyanotic Congenital Heart Disease,cv,topic,fm peds,8,dx:5 mech:2 next:1
right-murmurs,Right-Sided Murmurs: Pulmonic Stenosis &amp; Tricuspid Regurgitation,cv,topic,fm,6,dx:5 next:1
htn-drugs,Hypertension: Workup &amp; Drug Choice,cv,topic,fm,6,next:6
newborn-cyanosis,Cyanosis in the Newborn,cv,topic,fm peds,18,next:9 dx:5 mech:3 test:1
kawasaki,Kawasaki Disease,cv,topic,fm peds,7,dx:4 next:3
arf,Acute Rheumatic Fever,cv,topic,fm peds,7,dx:4 test:1 mech:1 screen:1
myocarditis,New Heart Failure in a Child,cv,topic,fm peds,8,dx:4 next:2 avoid:1 mech:1
del22q11,22q11.2 Deletion Syndrome,cv,topic,fm peds,8,dx:3 next:2 test:1 avoid:1 mech:1
bs-murmur-map,Murmur Man and Post-ToF Pulmonic Regurgitation,cv,bs,fm,13,dx:12 next:1
bs-shunt-timing,Congenital Shunts and the Transitional Clock,cv,bs,peds,11,next:6 mech:3 dx:2
copd,COPD: Which Interventions Improve Survival,pulm,topic,fm,6,next:5 claim:1
asthma-copd,Asthma vs. COPD,pulm,topic,fm,9,dx:5 test:3 next:1
cough,Chronic Cough,pulm,topic,fm,10,dx:6 next:3 test:1
pneumoconiosis,Occupational Lung Disease,pulm,topic,fm,11,dx:7 next:2 screen:1 mech:1
rhinitis,Allergic Rhinitis,pulm,topic,fm,6,next:3 dx:2 claim:1
sinopulm-structural,Recurrent Sinopulmonary Infection,pulm,topic,fm peds,12,next:5 dx:3 mech:2 test:1 screen:1
hypoxemia-mech,Mechanisms of Hypoxemia,pulm,topic,fm peds,10,next:5 test:2 mech:2 avoid:1
abpa,When Antibiotics Fail in a Structural Lung,pulm,topic,fm peds,10,next:5 dx:2 test:1 screen:1 mech:1
scd-dyspnea,Chronic Dyspnea in Sickle Cell Disease,pulm,topic,fm peds,10,next:6 test:1 dx:1 mech:1 avoid:1
airway,Pediatric Airway &amp; Noisy Breathing,pulm,topic,fm peds,20,dx:10 mech:5 next:2 test:1 screen:1 avoid:1
mycoplasma,Pediatric Community-Acquired Pneumonia,pulm,topic,fm peds,9,mech:5 dx:4
uri,Pediatric Upper Respiratory Infection,pulm,topic,fm peds,12,dx:6 next:4 claim:1 avoid:1
asthma,Asthma: Severity Classification,pulm,topic,fm peds,6,stage:4 next:2
bpd,Bronchopulmonary Dysplasia,pulm,topic,fm peds,10,dx:5 next:3 screen:1 claim:1
bs-nrd,Neonatal Respiratory Distress,pulm,bs,peds,13,next:8 dx:4 mech:1
liver-preg,Liver Disease in Pregnancy,gi,topic,fm,9,dx:6 next:3
masld,MASLD / Metabolic Fatty Liver,gi,topic,fm,6,dx:3 next:2 claim:1
cholestasis,Cholestasis &amp; the LFT Patterns,gi,topic,fm,9,dx:6 next:2 test:1
zenker,Zenker Diverticulum,gi,topic,fm,7,dx:3 test:1 avoid:1 next:1 mech:1
infant-stool,"Infant Stool Complaints: Dyschezia, FPIAP &amp; Secondary Lactase Deficiency",gi,topic,fm peds,10,next:7 dx:1 avoid:1 mech:1
fap,Familial Adenomatous Polyposis,gi,topic,fm,8,next:4 screen:2 dx:2
peutz-jeghers,Peutz-Jeghers Syndrome,gi,topic,peds fm,7,dx:3 next:1 mech:1 screen:1 avoid:1
feeding-refusal,Toddler Food Refusal,gi,topic,fm peds,10,next:5 test:1 dx:1 avoid:1 mech:1 claim:1
rlq-pain,Right Lower Quadrant Pain,gi,topic,fm peds,13,next:8 dx:2 mech:2 avoid:1
peds-constipation,Constipation in a Child,gi,topic,fm peds,11,next:7 dx:2 mech:1 avoid:1
cyclic-vomiting,Cyclic Vomiting Syndrome,gi,topic,peds,6,dx:3 mech:1 next:1 claim:1
neonatal-jaundice,Neonatal Jaundice,gi,topic,fm peds,12,mech:3 dx:3 test:3 next:2 avoid:1
