nbme_id,fingerprint,same_as,form,sort,brief,item_id,bp_system,task,result,time,miss_cause,note
peds-cms-fdc19e,fdc19ea8c1,,Pediatrics CMS,new,cgd,q_bd617d53d7c3c8f78cff,immune,dx,incorrect,1:15,unknown,No neutropenia content existed; added number-vs-function fork and table.
peds-cms-aa91d7,aa91d7708d,,Pediatrics CMS,covered,rmsf,q_f301e03be41b7aa167b0,multi,dx,incorrect,0:54,unknown,"Decision already taught (q_a0264f4b9ba55b0db36c). Framing: no tick; June, rural; mosquito bites and conjunctival injection as decoys; steroids irrelevant."
peds-cms-cb45d9,cb45d9c1cd,,Pediatrics CMS,covered,bs-nephritic,q_aeb588e544ebeb4b9c39,renal,dx,incorrect,2:01,unknown,"s31 link only. Framing: nephritic urine under AKI chemistry; murmur after strep throat baits echo; decoys ANA, urine culture, renal ultrasound."
peds-cms-060d9c,060d9ca19a,,Pediatrics CMS,covered,bs-umbilical,q_7e472e5bd7e09a357f4d,newborn,dx,incorrect,1:07,unknown,"s31 link only. Framing: no labs, missed screen hidden as first visit at 2 months; wrong-organ decoys (karyotype, sweat chloride, head or liver CT)."
peds-cms-2944bc,2944bca243,,Pediatrics CMS,covered,redeye,q_bfc2adf60a295d1a841a,neuro,dx,incorrect,0:37,unknown,s31 link only. Framing: home birth by father = no prophylaxis; Kawasaki listed as mucocutaneous lymph node syndrome. Azithromycin added as chlamydial alternative (CDC 2021).
peds-cms-6facf4,6facf4b156,,Pediatrics CMS,covered,neonatal-rash,q_ee07b7cec8875310382c,skin,mgmt,correct,0:49,,s31 link only. Framing: small yellow papules on red base; each decoy is another rash workup.
peds-cms-dbb94d,dbb94d9ec8,,Pediatrics CMS,covered,bs-leukemia,q_d5a219c1127f50cba341,heme,dx,correct,1:34,,s31 link only. Framing: prior sJIA label is the anchor; imaging and liver biopsy decoys; marrow still first.
peds-cms-9b4c4f,9b4c4f897d,,Pediatrics CMS,covered,lymphadenitis,q_bbe63e88a23044cd7f3a,heme,dx,correct,1:12,,s31 link only. Framing: planted cat scratches beside a cat-scratch option; key worded as infected cyst.
peds-cms-e6a460,e6a460da4f,,Pediatrics CMS,covered,arf,q_163add7fdad553c2a5e2,cv,dx,incorrect,2:56,unknown,"s31 link only. Framing: no sore throat, refugee camp only; travel-fever decoys; Kawasaki as mucocutaneous lymph node syndrome."
peds-cms-fdc19e,fdc19ea8c1,peds-cms-fdc19e,Pediatrics CMS,covered,cgd,q_bd617d53d7c3c8f78cff,immune,dx,incorrect,1:15,unknown,"s31 repeat of the s28 item; already linked, nothing added."
