id,title,page_section,shelf,primary,primary_name,secondary,note
pmr,Polymyalgia Rheumatica,msk,fm,msk,Musculoskeletal System,immune,
biceps,Biceps Tendinitis,msk,fm,msk,Musculoskeletal System,,
cts,Carpal Tunnel Syndrome,msk,fm,msk,Musculoskeletal System,neuro,review: peripheral nerve could be neuro
dequervain,De Quervain Tendinopathy,msk,fm,msk,Musculoskeletal System,,
meralgia,Meralgia Paresthetica,msk,fm,neuro,Nervous System & Special Senses,msk,review: peripheral nerve
scaphoid,Scaphoid Fracture,msk,fm,msk,Musculoskeletal System,,
backpain,Low Back Pain: Red Flags,msk,fm,msk,Musculoskeletal System,,
hippos,Hip Positioning: Fracture vs. Dislocation,msk,fm,msk,Musculoskeletal System,,
gtps,Pain Around the Hip and Thigh,msk,fm,msk,Musculoskeletal System,,
inflam-back,Inflammatory Back Pain & Spondyloarthritis,msk,fm,msk,Musculoskeletal System,immune,
oa-pharm,Osteoarthritis Pharmacotherapy,msk,fm,msk,Musculoskeletal System,,
septic-bursitis,Septic Bursitis,msk,fm,msk,Musculoskeletal System,,
septic-hip,Septic Arthritis of the Hip,msk,fm peds,msk,Musculoskeletal System,,
synovitis,Transient Synovitis Mirror twin,msk,fm peds,msk,Musculoskeletal System,,
limp,The Limping Child — Master Table,msk,fm peds,msk,Musculoskeletal System,,
sjia,Juvenile Idiopathic Arthritis,msk,fm peds,msk,Musculoskeletal System,immune,
nursemaid,Nursemaid's Elbow,msk,fm peds,msk,Musculoskeletal System,,
scfe,Slipped Capital Femoral Epiphysis,msk,fm peds,msk,Musculoskeletal System,,
myositis-ossificans,The Post-Traumatic Limb Mass,msk,fm peds,msk,Musculoskeletal System,,
growing-pains,Benign Limb Pain in a Child,msk,fm peds,msk,Musculoskeletal System,,
bone-tumors,"Bone Tumors: Location, Film, Course",msk,peds,msk,Musculoskeletal System,,
scheuermann,Scheuermann Kyphosis,msk,fm peds,msk,Musculoskeletal System,,
bs-septic-adult,The Acute Hot Joint (adult),msk,fm,msk,Musculoskeletal System,,
bs-lbp-acute,Acute Low Back Pain with No Red Flags,msk,fm,msk,Musculoskeletal System,,
bs-synovitis-mgmt,Transient Synovitis: Management,msk,fm peds,msk,Musculoskeletal System,,
bs-torticollis,Congenital Muscular Torticollis and Plagiocephaly,msk,peds,msk,Musculoskeletal System,newborn,
bs-brachial-plexus,Brachial Plexus Injury at Birth,msk,peds,newborn,Disorders of the Newborn & Congenital Disorders,neuro,
shoulder-rom,Shoulder Pain: the Range-of-Motion Rule,msk,fm,msk,Musculoskeletal System,,
growth,Growth & Developmental Milestones,peds,fm peds,gen,"General Principles, Normal Age-Related Findings, Care of the Well Patient",,
neonatal-maternal-labs,Maternal Carryover in Newborn Labs,peds,fm peds,newborn,Disorders of the Newborn & Congenital Disorders,,
newborn-hormone,Maternal Hormone Effects in the Newborn,peds,fm peds,newborn,Disorders of the Newborn & Congenital Disorders,,
aneuploidy,Aneuploidy: Reading the Newborn,peds,peds,newborn,Disorders of the Newborn & Congenital Disorders,,
malform-syndromes,Multiple Anomalies in a Newborn,peds,peds,newborn,Disorders of the Newborn & Congenital Disorders,,
bs-learning,Specific Learning Disorder,peds,peds,behav,Behavioral Health,,
bs-nat-fracture,Suspected Child Abuse: Fractures and the Next Step,peds,fm peds,multi,Multisystem Processes & Disorders,social,review: abuse could be coded behav or social
bs-shock,Shock in Children,peds,peds,multi,Multisystem Processes & Disorders,cv,
bs-infant-feeding,Infant Feeding at Six Months,peds,fm peds,gen,"General Principles, Normal Age-Related Findings, Care of the Well Patient",gi,
bs-tanner,Sexual Maturity Rating,peds,fm peds,gen,"General Principles, Normal Age-Related Findings, Care of the Well Patient",endo,
bs-ftt,Faltering Weight,peds,fm peds,gen,"General Principles, Normal Age-Related Findings, Care of the Well Patient",gi,
bs-preterm-followup,Prematurity Follow-Up and Corrected Age,peds,fm peds,newborn,Disorders of the Newborn & Congenital Disorders,gen,
aq-infant-hypotonia,Hypotonia in an Infant,peds,peds,newborn,Disorders of the Newborn & Congenital Disorders,neuro,
chf,Heart Failure: Reducing Hospitalization,cv,fm,cv,Cardiovascular System,,
ascvd,Statins & the 10-Year ASCVD Risk Assessment,cv,fm,cv,Cardiovascular System,gen,
angina,Anginal Equivalents & Stress Test Selection,cv,fm,cv,Cardiovascular System,,
ie-ppx,Infective Endocarditis Prophylaxis,cv,fm,cv,Cardiovascular System,,
secondary-htn,Secondary Hypertension,cv,fm,cv,Cardiovascular System,endo,
dvt,DVT & Pulmonary Embolism,cv,fm,cv,Cardiovascular System,heme,
ped-murmur,Innocent vs Pathologic Murmurs,cv,fm peds,cv,Cardiovascular System,,
cyanotic-chd,Cyanotic Congenital Heart Disease,cv,fm peds,cv,Cardiovascular System,newborn,
right-murmurs,Right-Sided Murmurs: Pulmonic Stenosis & Tricuspid Regurgitation,cv,fm,cv,Cardiovascular System,,
htn-drugs,Hypertension: Workup & Drug Choice,cv,fm,cv,Cardiovascular System,,
newborn-cyanosis,Cyanosis in the Newborn,cv,fm peds,newborn,Disorders of the Newborn & Congenital Disorders,cv,
